safety_margin,perturbations,probe_steps,estimator_method,L_pred,L_actual,bound_holds,max_bound_ratio,final_bound_ratio,predicted_dangerous,actual_dangerous,false_negative,false_positive,runtime_seconds
1.25,3,10,rewritten_state_L,1.1019873543518446,0.9938105561960218,True,0.9999999068677404,3.256112638165133e-05,True,True,False,False,0.01214330000038899
1.25,3,10,max_clean_rewritten_L,1.1369179576756758,0.9938105561960218,True,0.9999999068677404,1.4369706039331952e-06,True,True,False,False,0.023935100000016973
1.25,3,10,longer_horizon_L,1.2029236313493425,0.9938105561960218,True,0.9999999068677404,5.088090679305513e-09,True,True,False,False,0.021457699999700708
1.5,3,10,clean_state_L,1.3643015492108108,0.9938105561960218,True,0.9999999068677404,1.73509508319506e-14,True,True,False,False,0.011791799999627983
1.5,3,10,rewritten_state_L,1.3223848252222135,0.9938105561960218,True,0.9999999068677404,3.931649689524346e-13,True,True,False,False,0.01214330000038899
1.5,3,10,max_clean_rewritten_L,1.3643015492108108,0.9938105561960218,True,0.9999999068677404,1.73509508319506e-14,True,True,False,False,0.023935100000016973
1.5,3,10,longer_horizon_L,1.4435083576192111,0.9938105561960218,True,0.9999999068677404,6.143703355064516e-17,True,True,False,False,0.021457699999700708
1.0,3,15,clean_state_L,0.9565064623777444,0.9938105561960218,False,71.33465426491362,45.874321221375034,False,True,True,False,0.015843400000449037
1.0,3,15,rewritten_state_L,0.952456253221847,0.9938105561960218,False,100.16828774278416,70.12239858397523,False,True,True,False,0.015374099999462487
1.0,3,15,max_clean_rewritten_L,0.9565064623777444,0.9938105561960218,False,71.33465426491362,45.874321221375034,False,True,True,False,0.031217499999911524
1.0,3,15,longer_horizon_L,0.9622683678879006,0.9938105561960218,False,44.120098097311555,25.161674341230437,False,True,True,False,0.03151849999994738
1.03,3,15,clean_state_L,0.9852016562490767,0.9938105561960218,False,7.769638117374358,2.3869712093488515,False,True,True,False,0.015843400000449037
