model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,D_stepwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5583269833333968
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,E_empirical_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.14278620000004594
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,A_fixed_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.1332682999982353
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,B_fixed_rewritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.1332682999982353
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,C_fixed_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.1332682999982353
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,D_stepwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5488090833315862
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,noop_restore,E_empirical_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.1332682999982353
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,A_fixed_clean,0.05040372163057327,0.15402367916560902,0.15402367916560902,0.04064293950796127,0.19634804129600525,3.7896786263562054,0.7844421474691975,False,False,False,0.14078880000124627
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,B_fixed_rewritten,0.05040372163057327,0.11572129893154082,0.11572129893154082,0.04064293950796127,0.19634804129600525,2.847266962786315,0.5893682369720445,False,False,False,0.14078880000124627
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,C_fixed_max,0.05040372163057327,0.15402367916560902,0.15402367916560902,0.04064293950796127,0.19634804129600525,3.7896786263562054,0.7844421474691975,False,False,False,0.14078880000124627
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,D_stepwise_product,0.05040372163057327,0.110237651339664,0.110237651339664,0.04064293950796127,0.19634804129600525,2.7123444483652634,0.5614400358263559,False,False,False,0.5563295833345971
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,stale_adam_moments,E_empirical_envelope,0.05040372163057327,0.04509055301170755,0.2178346810537221,0.04064293950796127,0.19634804129600525,1.1094313934373536,1.1094313934373534,True,False,False,0.14078880000124627
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_first_moment,A_fixed_clean,0.017937932163476944,0.05481472833874961,0.05481472833874961,0.051464736461639404,0.08916588127613068,1.0650929569921574,0.6147500316740915,False,False,False,0.1342432999990706
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_first_moment,B_fixed_rewritten,0.017937932163476944,0.03993582534257062,0.03993582534257062,0.051464736461639404,0.08916588127613068,0.7759842581208559,0.4478823600576162,False,False,False,0.1342432999990706
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_first_moment,C_fixed_max,0.017937932163476944,0.05481472833874961,0.05481472833874961,0.051464736461639404,0.08916588127613068,1.0650929569921574,0.6147500316740915,False,False,False,0.1342432999990706
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_first_moment,D_stepwise_product,0.017937932163476944,0.03923193461953543,0.03923193461953543,0.051464736461639404,0.08916588127613068,0.7623071119537936,0.4399881889580746,False,False,False,0.5497840833324215
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_first_moment,E_empirical_envelope,0.017937932163476944,0.057184278239511416,0.09907534585679045,0.051464736461639404,0.08916588127613068,1.1111351611046376,1.1111351611046376,True,False,False,0.1342432999990706
