model,dataset,seed,scenario,delta,L_clean,L_rewritten,L_max,L_stepwise,fixed_bound_final,stepwise_bound_final,actual_max_divergence,actual_loss_gap,epsilon,safety_margin,decision,decision_reason,runtime_seconds
mnist_mlp,real MNIST train split,2,ema_loaded_as_parameters,3.0655479431152344,1.5509347522990409,1.5581183659633722,1.5581183659633722,0.9814519517675669,1838745.0431468259,1.7481528520584106,3.0655479431152344,1.366746038198471,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5679398999991463
mnist_mlp,real MNIST train split,2,mild_lr_decrease,0.03963432088494301,1.5509347522990409,1.382031502114481,1.5509347522990409,1.097607184316541,20695.5629847214,0.6478577400527616,0.8833543062210083,0.07868802547454834,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5858846000000995
mnist_mlp,real MNIST train split,2,severe_lr_increase,0.713415801525116,1.5509347522990409,2.4280989304767124,2.4280989304767124,1.0854985008731506,257830359500.18375,8.360255776774613,10.781786918640137,0.2879350483417511,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5633038999994824
mnist_mlp,real MNIST train split,2,optimizer_state_from_older_checkpoint,0.10884229093790054,1.5509347522990409,1.632322686478537,1.632322686478537,1.066265751419131,263619.888954981,0.7460388940117018,0.6616354584693909,0.05623471736907959,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.6272848999997223
mnist_mlp,real MNIST train split,2,params_current_optimizer_older,0.14284905791282654,1.5509347522990409,1.7128386802990612,1.7128386802990612,1.0679252110347315,1466801.1339799047,1.0258941601526488,0.9181088805198669,0.06885141134262085,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5946016999996573
resnet18,real CIFAR-10 train split (first 256 images),0,exact_restore,0.0,1.9557905329150853,1.9577386231436962,1.9577386231436962,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,42.85196819999965
resnet18,real CIFAR-10 train split (first 256 images),0,noop_restore,0.0,1.9557905329150853,1.9557451840792976,1.9557905329150853,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,41.96331570000075
resnet18,real CIFAR-10 train split (first 256 images),0,stale_adam_moments,0.6479805111885071,1.9557905329150853,2.112743098018672,2.112743098018672,1.2675754567299982,257.23820890427237,4.3186948336878626,5.175725936889648,0.8472626209259033,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",41.22359210000013
resnet18,real CIFAR-10 train split (first 256 images),0,reset_first_moment,0.8138085007667542,1.9557905329150853,1.941450649053814,1.9557905329150853,1.2547815031689187,174.22117509006316,5.0011178288951745,5.88547945022583,0.7341558933258057,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",45.084004899999854
resnet18,real CIFAR-10 train split (first 256 images),0,reset_second_moment,9.744369506835938,1.9557905329150853,417.297649523038,417.297649523038,1.1057675389436175,8.960273211121104e+21,21.7803290545551,88327.4296875,6.592184543609619,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",39.316960299999664
resnet18,real CIFAR-10 train split (first 256 images),0,scheduler_mismatch,0.4069042205810547,1.9557905329150853,2.3639880505368662,2.3639880505368662,1.3080490557281335,396.8756099911565,3.487260957641601,5.021564483642578,0.48584985733032227,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",39.97258529999999
resnet18,real CIFAR-10 train split (first 256 images),0,ema_shadow_present_not_loaded,0.0,1.9557905329150853,1.9555636329750763,1.9557905329150853,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,44.85088420000102
resnet18,real CIFAR-10 train split (first 256 images),0,ema_loaded_as_parameters,5.734920024871826,1.9557905329150853,2.0942473686137633,2.0942473686137633,1.0327324319738005,2122.028406916519,7.42044401168823,8.761882781982422,0.5426256656646729,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",87.64851129999988
resnet18,real CIFAR-10 train split (first 256 images),0,mild_lr_decrease,0.4069042503833771,1.9557905329150853,1.4728097706833079,1.9557905329150853,1.2753384642118786,87.11058754503158,2.84771086366953,3.9012503623962402,0.8853204250335693,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",67.5397056999991
resnet18,real CIFAR-10 train split (first 256 images),0,severe_lr_increase,7.324344158172607,1.9557905329150853,6.00661688880968,6.00661688880968,1.2489897060316961,12411040.870379325,43.375012693198,53.38303756713867,3.0453476905822754,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",41.06700350000028
resnet18,real CIFAR-10 train split (first 256 images),0,optimizer_state_from_older_checkpoint,1.146950364112854,1.9557905329150853,2.590080248191267,2.590080248191267,1.2313482764524684,2323.0062781995903,6.061664259992014,6.815901279449463,0.6437737941741943,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",41.4894062000003
