model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,random,3,15,1.6353153849145194,1793.269560339336,True,False,0.017351999998936662
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,random,5,15,1.6280470528180775,1793.269560339336,True,False,0.02923670000018319
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,random,10,15,1.586208540691925,1793.269560339336,True,False,0.05775629999880039
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,random,20,15,1.5658288622333092,2139.983827292045,True,False,0.11616310000135854
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,random,50,15,1.5785131636608958,2506.0839094012285,True,False,0.2907404999987193
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,gradient_aligned,1,15,1.4403322640310086,193.4537899190877,True,False,0.005810500000734464
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,gradient_aligned,3,15,1.4723016399255677,309.3588282913125,True,False,0.018125500000678585
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,gradient_aligned,5,15,1.4641883710622137,309.3588282913125,True,False,0.029333299999052542
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,gradient_aligned,10,15,1.4592115235390697,309.3588282913125,True,False,0.05921119999948132
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,gradient_aligned,20,15,1.4622221884170106,323.6851922981076,True,False,0.11764579999908165
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,gradient_aligned,50,15,1.459860092244098,340.5843016117338,True,False,0.2926747000001342
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,trajectory_aligned,1,15,1.733793011847555,2690.8925855443454,False,False,0.0059909000010520685
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,trajectory_aligned,3,15,1.7316172490111572,2690.8925855443454,False,False,0.018040299999483977
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,trajectory_aligned,5,15,1.7326443329373056,2721.0754843514155,False,False,0.030290099999547238
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,trajectory_aligned,10,15,1.7327992395497156,2721.0754843514155,False,False,0.060158800000863266
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,trajectory_aligned,20,15,1.732696941249754,2721.0754843514155,False,False,0.12169030000040948
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,trajectory_aligned,50,15,1.7327631933910133,2763.977716651648,False,False,0.3047421999999642
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,top_hessian,1,15,1.7158264831442958,2200.565829659945,True,False,0.00596390000100655
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,top_hessian,3,15,1.7127914118924137,2200.565829659945,True,False,0.017591499999980442
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,top_hessian,5,15,1.7129735271871425,2200.565829659945,True,False,0.03331549999893468
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,top_hessian,10,15,1.7136975372568157,2200.565829659945,True,False,0.05812719999994442
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,top_hessian,20,15,1.7136353056784799,2221.4513214377234,True,False,0.11666549999972631
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,top_hessian,50,15,1.7137884821564253,2229.729798139465,True,False,0.2945249000003969
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,adam_denom_sensitive,1,15,1.5387667808967551,512.1792237207866,True,False,0.005827299999509705
