model,dataset,seed,scenario,metric_type,delta,L_estimate,bound_final,actual_final_divergence,actual_max_divergence,bound_holds,decision,notes
mnist_mlp,real MNIST train split,0,mild_lr_decrease,raw_theta_M,0.0,1.5404801238352253,0.0,0.6078659296035767,0.6078659296035767,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
mnist_mlp,real MNIST train split,0,mild_lr_decrease,raw_plus_sched_time,0.038620952516794205,1.5404801238352253,16462.885429211863,0.6078659296035767,0.6078659296035767,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,mild_lr_decrease,block_normalized,0.0,1.5404801238352253,0.0,0.6078659296035767,0.6078659296035767,False,certified_safe,
mnist_mlp,real MNIST train split,0,mild_lr_decrease,denom_aware_v,0.0,1.5404801238352253,0.0,0.6078659296035767,0.6078659296035767,False,certified_safe,
mnist_mlp,real MNIST train split,0,mild_lr_decrease,full_repaired,0.038620952516794205,1.5404801238352253,16462.885429211863,0.6078659296035767,0.6078659296035767,True,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,1,scheduler_mismatch,raw_theta_M,0.0,1.6565953442169277,0.0,0.6103419661521912,0.6103419661521912,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
mnist_mlp,real MNIST train split,1,scheduler_mismatch,raw_plus_sched_time,0.04532726854085922,1.6565953442169277,170943.5200709505,0.6103419661521912,0.6103419661521912,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,scheduler_mismatch,block_normalized,0.0,1.6565953442169277,0.0,0.6103419661521912,0.6103419661521912,False,certified_safe,
mnist_mlp,real MNIST train split,1,scheduler_mismatch,denom_aware_v,0.0,1.6565953442169277,0.0,0.6103419661521912,0.6103419661521912,False,certified_safe,
mnist_mlp,real MNIST train split,1,scheduler_mismatch,full_repaired,0.04532726854085922,1.6565953442169277,170943.5200709505,0.6103419661521912,0.6103419661521912,True,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,1,reset_second_moment,raw_theta_M,0.0038877814076840878,7.533240260806199,7.927867849653375e+23,2200.82470703125,2200.82470703125,False,flagged_dangerous,
mnist_mlp,real MNIST train split,1,reset_second_moment,raw_plus_sched_time,0.0038877814076840878,7.533240260806199,7.927867849653375e+23,2200.82470703125,2200.82470703125,False,flagged_dangerous,
mnist_mlp,real MNIST train split,1,reset_second_moment,block_normalized,7.106435348341251,7.533240260806199,1.4491267490606012e+27,2200.82470703125,2200.82470703125,False,flagged_dangerous,
mnist_mlp,real MNIST train split,1,reset_second_moment,denom_aware_v,1.3962013721466064,7.533240260806199,2.8470993631498027e+26,2200.82470703125,2200.82470703125,False,flagged_dangerous,
mnist_mlp,real MNIST train split,1,reset_second_moment,full_repaired,1.3962013721466064,7.533240260806199,2.8470993631498027e+26,2200.82470703125,2200.82470703125,False,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,1,ema_loaded_as_parameters,raw_theta_M,2.9627602100372314,1.5799934452233604,2699945.8908276577,2.2809996604919434,2.9627602100372314,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,ema_loaded_as_parameters,raw_plus_sched_time,2.9627602100372314,1.5799934452233604,2699945.8908276577,2.2809996604919434,2.9627602100372314,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,ema_loaded_as_parameters,block_normalized,2.9627602100372314,1.5799934452233604,2699945.8908276577,2.2809996604919434,2.9627602100372314,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,ema_loaded_as_parameters,denom_aware_v,2.9627602100372314,1.5799934452233604,2699945.8908276577,2.2809996604919434,2.9627602100372314,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,ema_loaded_as_parameters,full_repaired,2.9627602100372314,1.5799934452233604,2699945.8908276577,2.2809996604919434,2.9627602100372314,True,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,1,stale_adam_moments,raw_theta_M,0.5152265429496765,1.602264728534747,714539.7636384773,0.49082955718040466,0.4914506673812866,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,stale_adam_moments,raw_plus_sched_time,0.5152265429496765,1.602264728534747,714539.7636384773,0.49082955718040466,0.4914506673812866,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,stale_adam_moments,block_normalized,5.915338986918018,1.602264728534747,8203662.989402133,0.49082955718040466,0.4914506673812866,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,stale_adam_moments,denom_aware_v,0.5178793472220738,1.602264728534747,718218.7940838537,0.49082955718040466,0.4914506673812866,True,flagged_dangerous,
mnist_mlp,real MNIST train split,1,stale_adam_moments,full_repaired,0.0845017209649086,1.602264728534747,117190.85623895701,0.49082955718040466,0.4914506673812866,True,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,1,mild_lr_decrease,raw_theta_M,0.0,1.5446873153767384,0.0,0.7180306911468506,0.7180306911468506,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
