seed,step,train_loss,test_loss,test_accuracy,protocol_sha256
4101,111,1.7237193584442139,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,112,1.833437204360962,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,113,1.7309060096740723,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,114,1.8168575763702393,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,115,1.6260278224945068,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,116,1.8522920608520508,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,117,1.9261674880981445,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,118,1.7076005935668945,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,119,1.71270751953125,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,120,1.7701057195663452,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,121,1.623278021812439,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,122,1.8089179992675781,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,123,1.830336332321167,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,124,1.8782583475112915,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,125,1.8655869960784912,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,126,1.7434087991714478,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,127,1.9018874168395996,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,128,1.7901188135147095,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,129,1.765872597694397,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,130,1.8051462173461914,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,131,1.7796680927276611,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,132,1.8669836521148682,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,133,1.8452370166778564,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,134,1.7348248958587646,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,135,1.79257071018219,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,136,1.8625576496124268,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,137,1.851179838180542,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,138,1.5902689695358276,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,139,1.9116108417510986,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,140,1.7349644899368286,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,141,1.81583571434021,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,142,1.8321864604949951,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,143,1.7759180068969727,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,144,1.8059176206588745,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,145,1.6691362857818604,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,146,1.7454063892364502,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,147,1.7549941539764404,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,148,1.90626060962677,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,149,1.7811317443847656,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,150,1.6928211450576782,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,151,2.0001466274261475,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,152,1.7986458539962769,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,153,1.7910830974578857,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,154,1.8476014137268066,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,155,1.727533221244812,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,156,1.6207077503204346,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,157,1.7087758779525757,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,158,1.8944106101989746,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,159,1.7545002698898315,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,160,1.8036537170410156,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,161,1.7725415229797363,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,162,1.6651259660720825,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,163,1.6042048931121826,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,164,1.8068246841430664,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,165,1.6271661520004272,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,166,1.7671904563903809,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,167,1.6351062059402466,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,168,1.6639342308044434,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,169,1.6499086618423462,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,170,1.6172534227371216,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,171,1.6726710796356201,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,172,1.8124544620513916,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,173,1.7788844108581543,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,174,1.5008779764175415,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,175,1.7172120809555054,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,176,1.7202558517456055,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,177,1.619771122932434,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,178,1.6783056259155273,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,179,1.662839651107788,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,180,1.8488247394561768,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,181,1.7824287414550781,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,182,1.722670555114746,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,183,1.8539071083068848,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,184,1.580080509185791,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,185,1.578908920288086,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,186,1.582668662071228,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,187,1.6590118408203125,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,188,1.6101274490356445,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,189,1.6275848150253296,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,190,1.6852059364318848,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,191,1.6268880367279053,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,192,1.7203890085220337,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,193,1.7330000400543213,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,194,1.6232078075408936,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,195,1.7947226762771606,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,196,1.7382752895355225,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,197,1.627744197845459,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
