row_id,rewrite_family,training_seed,checkpoint_step,parameter_label,T_tau,normalized_max_parameter_divergence,task_damaged,task_recovery_step,max_validation_loss_gap,final_validation_loss_gap,max_perplexity_gap,final_perplexity_gap
gpu_seed1103_ckpt75_stale_v,stale_v,1103,75,dangerous,1,14.431540353278603,True,,39.58326498667399,0.16032854715983014,1.634122413477753e+21,558.7154021690244
gpu_seed1103_ckpt75_stale_mv,stale_mv,1103,75,benign,,0.06813554931907675,True,,2.8921505610148115,2.6499959627787275,4855.958449331796,3505.1631645893317
gpu_seed1103_ckpt75_model_current_optimizer_stale,model_current_optimizer_stale,1103,75,benign,,0.05952079414950627,True,,3.2127803166707363,2.818712552388509,4934.165655706709,3546.5333467215523
gpu_seed1103_ckpt75_step_counter_mismatch,step_counter_mismatch,1103,75,benign,,0.024364730805987594,True,,3.4227280616760254,3.4227280616760254,4804.0888866126015,3648.591584607813
gpu_seed1103_ckpt75_scheduler_mismatch,scheduler_mismatch,1103,75,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1103_ckpt75_optimizer_reset,optimizer_reset,1103,75,dangerous,14,0.11945296234220862,True,,20.240383466084797,1.898995717366537,5570841999074.189,21419.805400695852
gpu_seed1103_ckpt150_exact_restore,exact_restore,1103,150,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1103_ckpt150_benign_nonzero,benign_nonzero,1103,150,benign,,9.418341808244769e-06,False,0,1.5894571969710114e-07,7.947285940446136e-08,3.3373094723287977e-06,1.601747641188922e-06
gpu_seed1103_ckpt150_reset_m,reset_m,1103,150,benign,,0.0057847207995592185,False,15,0.2718773682912192,0.0894320011138916,7.1284901714724,1.8855272710622266
gpu_seed1103_ckpt150_reset_v,reset_v,1103,150,dangerous,1,328.0856836746659,True,,198505799.25498357,6797252.329898357,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1103_ckpt150_stale_m,stale_m,1103,150,benign,,0.010161130636771185,True,,0.2615880171457925,0.2012951374053955,6.977942916541188,4.494197833627716
