seed,checkpoint_age,cohort,rewrite_family,T_tau,crossed_H20,crossed_H100,first_step_S1,candidate_update_norm,clean_update_norm,update_cosine,heldout_task_gap_H100,max_heldout_task_gap_H100
1201,75,width448,reset_v,1.0,True,True,130047.89382984978,51885.03515625,0.39896833896636963,0.10592970252037048,10191690407.470398,23922257232.98709
1201,75,width448,stale_m,,False,False,1.853416513555068,0.7233544588088989,0.39896833896636963,0.2349732220172882,0.060561498006185044,1.0302015940348301
1201,75,width448,stale_v,,False,False,3.2848219591890753,1.4530385732650757,0.39896833896636963,0.47694170475006104,0.03204536437988281,0.7290961742401123
1201,75,width448,stale_mv,,False,False,2.188466616802446,0.8836471438407898,0.39896833896636963,0.25195765495300293,0.250321626663208,1.269387086232503
1201,75,width448,model_current_optimizer_stale,,False,False,1.8541006020948578,0.731495201587677,0.39896833896636963,0.251957505941391,0.07016555468241359,0.6947081883748369
1201,75,width448,optimizer_reset,15.0,True,True,9.114045731572427,3.711329698562622,0.39896833896636963,0.24011574685573578,0.05089894930521632,24.2032306989034
1201,150,width448,exact_restore,,False,False,0.0,0.11071852594614029,0.11071852594614029,0.9999997615814209,0.0,0.0
1201,150,width448,benign_nonzero,,False,False,0.0,0.11071852594614029,0.11071852594614029,0.9999997615814209,0.004349629084269058,0.005149205525716294
1201,150,width448,reset_m,,False,False,0.9207904315207639,0.042935725301504135,0.11071852594614029,0.3900643289089203,0.026314655939737808,0.24323002497355173
1201,150,width448,reset_v,1.0,True,True,45352.578193337526,5021.38232421875,0.11071852594614029,0.10576910525560379,22392.488185803097,635724.6161226431
1201,150,width448,stale_m,,False,False,1.2391273202763189,0.10400143265724182,0.11071852594614029,0.18465666472911835,0.006059169769287109,0.24892036120096872
1201,150,width448,stale_v,1.0,True,True,965.490268112794,106.900634765625,0.11071852594614029,0.027362799271941185,0.0026369094848632812,0.021678686141967773
1201,150,width448,stale_mv,,False,False,1.2549415765517016,0.10667287558317184,0.11071852594614029,0.1833895593881607,0.0015644232432046046,0.24841713905334473
1201,150,width448,model_current_optimizer_stale,,False,False,1.2080210013235764,0.09804122895002365,0.11071852594614029,0.1833963692188263,0.0015837351481122752,0.2557820479075117
1201,150,width448,optimizer_reset,,False,False,15.594484908699693,1.7486207485198975,0.11071852594614029,0.22931016981601715,0.30524492263793945,9.984266678492228
1201,300,width448,exact_restore,,False,False,0.0,0.025276854634284973,0.025276854634284973,1.0000004768371582,0.0,0.0
1201,300,width448,benign_nonzero,,False,False,0.0,0.025276854634284973,0.025276854634284973,1.0000004768371582,0.0001719792683920751,0.0003478527069091797
1201,300,width448,reset_m,,False,False,0.9212720059341912,0.01181209646165371,0.025276854634284973,0.39549383521080017,0.0008764266967773438,0.08163285255432129
1201,300,width448,reset_v,1.0,True,True,32532.705305141462,822.326904296875,0.025276854634284973,0.09427925199270248,203.5386923948924,12558.030094385147
1201,300,width448,stale_m,,False,False,1.1744030834864727,0.025520648807287216,0.025276854634284973,0.3170226216316223,0.0012009143829345703,0.01536170641581247
1201,300,width448,stale_v,,False,False,0.3679739768916635,0.02720312401652336,0.025276854634284973,0.9397897720336914,0.0003542105356850733,0.0011523564656577001
1201,300,width448,stale_mv,,False,False,1.1748752137274903,0.02554595097899437,0.025276854634284973,0.31716039776802063,0.0010361671447753906,0.01518114407857274
1201,300,width448,model_current_optimizer_stale,,False,False,1.8857593669245312,0.04921644926071167,0.025276854634284973,0.31716272234916687,0.1248935858408613,0.1727441151936846
1201,300,width448,optimizer_reset,,False,False,16.577171149983126,0.4241708815097809,0.025276854634284973,0.23238638043403625,0.23370099067687988,0.6431740125020342
1202,75,width448,exact_restore,,False,False,0.0,0.454815536737442,0.454815536737442,0.9999999403953552,0.0,0.0
1202,75,width448,benign_nonzero,,False,False,0.0,0.454815536737442,0.454815536737442,0.9999999403953552,0.017825444539387725,0.023509184519449722
1202,75,width448,reset_m,,False,False,0.9263949064649183,0.17721664905548096,0.454815536737442,0.37677332758903503,0.006928443908691406,1.371522267659505
1202,75,width448,reset_v,1.0,True,True,165745.62962512008,75383.75,0.454815536737442,0.13367030024528503,79240391335.84192,339616606886.1634
1202,75,width448,stale_m,,False,False,1.4414727086398709,0.5564149022102356,0.454815536737442,0.17117628455162048,0.05920775731404637,1.2338056564331055
1202,75,width448,stale_v,1.0,True,True,4351.441117285103,1979.1102294921875,0.454815536737442,0.01588461920619011,0.014831304550170898,1.640624761581421
1202,75,width448,stale_mv,,False,False,1.6429478732035014,0.6811698079109192,0.454815536737442,0.18153981864452362,0.1455228328704834,2.2474305629730225
1202,75,width448,model_current_optimizer_stale,,False,False,1.444639064461278,0.5638839602470398,0.454815536737442,0.1815369725227356,0.004541158676147461,0.6916054884592695
1202,75,width448,optimizer_reset,15.0,True,True,8.00618934035464,3.693976640701294,0.454815536737442,0.1764707863330841,0.7124215761820478,15.180177052815754
1202,150,width448,exact_restore,,False,False,0.0,0.11561619490385056,0.11561619490385056,0.9999997615814209,0.0,0.0
1202,150,width448,benign_nonzero,,False,False,0.0010628420741410234,0.11561618745326996,0.11561619490385056,0.9999991655349731,0.0005612373352050781,0.004900058110555161
1202,150,width448,reset_m,,False,False,0.9691474462407274,0.06260302662849426,0.11561619490385056,0.3268362879753113,0.013274431228637695,0.20159999529520656
1202,150,width448,reset_v,1.0,True,True,61782.5933923321,7143.07861328125,0.11561619490385056,0.08294520527124405,23418.91411312421,1074630.0946520169
1202,150,width448,stale_m,,False,False,1.417858125360737,0.15013641119003296,0.11561619490385056,0.26027655601501465,0.026472409566243194,0.2412482897440591
1202,150,width448,stale_v,1.0,True,True,966.1901579289153,111.7101821899414,0.11561619490385056,0.026056954637169838,0.0020381609598798534,0.008184591929118135
1202,150,width448,stale_mv,,False,False,1.444757784673073,0.15431900322437286,0.11561619490385056,0.2600628435611725,0.023468653361002456,0.24443046251932765
1202,150,width448,model_current_optimizer_stale,,False,False,1.3663181559210391,0.1418311595916748,0.11561619490385056,0.2600666284561157,0.035164515177408706,0.22835135459899902
1202,150,width448,optimizer_reset,,False,False,14.446457580722983,1.6872975826263428,0.11561619490385056,0.18101179599761963,0.03373901049296091,7.272688468297323
1202,300,width448,exact_restore,,False,False,0.0,0.024482199922204018,0.024482199922204018,1.000000238418579,0.0,0.0
1202,300,width448,benign_nonzero,,False,False,0.0012259044433707354,0.02448219433426857,0.024482199922204018,0.9999995231628418,3.03586324053029e-05,0.00038886070251464844
1202,300,width448,reset_m,,False,False,0.9404200358705852,0.010716082528233528,0.024482199922204018,0.350917249917984,0.0023325284322104345,0.02622993787129735
1202,300,width448,reset_v,1.0,True,True,39502.861115138185,967.1190185546875,0.024482199922204018,0.08757807314395905,137.3981744448344,9655.068885803223
1202,300,width448,stale_m,,False,False,1.2336155022164252,0.02247544564306736,0.024482199922204018,0.17481735348701477,0.001278082529704072,0.02484448750813817
1202,300,width448,stale_v,,False,False,10.594668306959164,0.2609654366970062,0.024482199922204018,0.11143796890974045,0.00019931793212890625,0.0008673667907714844
1202,300,width448,stale_mv,,False,False,1.2336415221265247,0.022460972890257835,0.024482199922204018,0.1743035465478897,0.0015508333841962596,0.024582783381144058
1202,300,width448,model_current_optimizer_stale,,False,False,1.87295984306148,0.04327300563454628,0.024482199922204018,0.1743057519197464,0.11025706926981638,0.11025706926981638
