cohort,seed,checkpoint_age,rewrite_family,kappa_t,eps_c,tolerance,first_step_S1,representable,empty_state,coordinate_count,fraction_R_gt_1_plus_tol,max_R,q95_R,q99_R,q999_R,v_zero_m_nonzero
primary,1103,300,stale_v,52.8571428571428,1e-30,1e-05,0.04018475205395844,True,False,19484864,5.132188759439122e-08,1.1231772899627686,0.0007106976117938757,0.0026436366606503725,0.00859406404197216,0
primary,1103,300,stale_mv,52.8571428571428,1e-30,1e-05,1.3763348934636763,True,False,19484864,0.0,0.15445666015148163,0.0008176775882020593,0.00338126253336668,0.013101273216307163,0
primary,1103,300,optimizer_reset,52.8571428571428,1e-30,1e-05,18.59841172459456,True,True,0,0.0,0.0,0.0,0.0,0.0,0
primary,1103,300,reset_mv_preserve_counter,52.8571428571428,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1201,75,exact_restore,52.85713505761189,1e-30,1e-05,0.0,True,False,19484864,0.0,0.6603315472602844,0.009143922477960587,0.036604173481464386,0.10495027154684067,0
width448,1201,75,reset_m,52.85713505761189,1e-30,1e-05,0.8655672646207273,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1201,75,reset_v,52.85713505761189,1e-30,1e-05,130047.89382984978,True,False,19484864,0.9989193663348125,2.410654516591041e+28,2.7958092843985026e+24,1.1034839999050045e+25,5.038411320904298e+25,19463808
width448,1201,75,stale_m,52.85713505761189,1e-30,1e-05,1.853416513555068,True,False,19484864,0.0,0.5737534165382385,0.04074171558022499,0.1009921208024025,0.20270146429538727,0
width448,1201,75,stale_v,52.85713505761189,1e-30,1e-05,3.2848219591890753,True,False,19484864,0.0013864607933624787,640765.4375,0.018981626257300377,0.13974492251873016,1.3687734603881836,0
width448,1201,75,stale_mv,52.85713505761189,1e-30,1e-05,2.188466616802446,True,False,19484864,0.0,0.6953028440475464,0.06268990784883499,0.1591561883687973,0.30142849683761597,0
width448,1201,75,optimizer_reset,52.85713505761189,1e-30,1e-05,9.114045731572427,True,True,0,0.0,0.0,0.0,0.0,0.0,0
width448,1201,75,reset_mv_preserve_counter,52.85713505761189,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1201,150,exact_restore,52.857142857141646,1e-30,1e-05,0.0,True,False,19484864,0.0,0.4177186191082001,0.0015805289149284363,0.006374331656843424,0.024072818458080292,0
width448,1201,150,reset_m,52.857142857141646,1e-30,1e-05,0.9207904315207639,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
width448,1201,150,reset_v,52.857142857141646,1e-30,1e-05,45352.578193337526,True,False,19484864,0.9990343273630239,1.0876366769277673e+28,9.052531407726193e+23,4.886092289278111e+24,2.7861521832916147e+25,19466048
width448,1201,150,stale_m,52.857142857141646,1e-30,1e-05,1.2391273202763189,True,False,19484864,0.0,0.6611743569374084,0.0014116928214207292,0.005686621647328138,0.019841864705085754,0
width448,1201,150,stale_v,52.857142857141646,1e-30,1e-05,965.490268112794,True,False,19484864,4.96282653037763e-05,8.151170349809141e+22,0.0016031527193263173,0.00681166909635067,0.030766980722546577,896
width448,1201,150,stale_mv,52.857142857141646,1e-30,1e-05,1.2549415765517016,True,False,19484864,0.0,0.6672224998474121,0.0014323870418593287,0.0060070594772696495,0.0225176140666008,0
